epoch,train_loss,val_loss,val_acc,avg_k_cnn,avg_k_lstm,avg_k_tr
1,37.433451360585735,17.908215618133546,52.0256445232574,1.000416965825733,1.0002929501533333,1.0002280256899163
2,37.43052673339844,17.87841730117798,53.13054153594325,1.0016493052430355,1.001792883670718,1.0016541854329348
3,37.30904902244101,17.83359432220459,53.60796617105442,1.0045503265044349,1.0048534218634768,1.0047290051394753
4,37.27857823274574,17.84524269104004,53.512481244032195,1.0065774953044446,1.0069533196803087,1.006880016182563
5,37.30271475655692,17.819034481048583,54.60373755285772,1.0082587857453136,1.0087002556480045,1.008658136053429
6,37.19133299224231,17.792758464813232,54.45368981039421,1.0096107938966157,1.0100985624627725,1.0100972453488253
7,37.216288663903065,17.757956790924073,54.699222479879964,1.010667772421986,1.0111902570156401,1.0112265534995557
8,37.11778749738421,17.846433544158934,54.7947074069022,1.0110960877954103,1.0116748899046957,1.0116996580564126
9,37.164417967504384,17.760671138763428,55.06752148410858,1.012302282297257,1.0129182705509756,1.012968280786771
10,37.18330998323402,17.7661994934082,55.16300641113081,1.0133217228090017,1.0139798771387325,1.0140388434629166
11,37.17719424500757,17.79241418838501,55.16300641113081,1.0136541532228873,1.014329299814146,1.0144181937569912
12,37.168594438202526,18.116630268096923,54.39912699495294,1.013881803222316,1.0145620356622902,1.014646524180064
13,37.18027317280672,18.038699531555174,54.27636066021007,1.014036834207593,1.0147510448939374,1.014866058373273
14,37.061041306476206,17.817875862121582,54.67194107215933,1.0153192891896317,1.016092894688316,1.0162062477547458
15,37.04570419934331,17.951644706726075,54.65830036829901,1.0164693989710942,1.0172576729252494,1.0173802497569133
16,37.158063071114675,17.89004611968994,54.76742599918156,1.0160406562509101,1.016844584643298,1.0169828244079908
17,37.06169097277583,17.9426513671875,54.617378256718055,1.01720597722821,1.0180275972037065,1.0181730111949796
18,37.08037862972338,17.97294988632202,54.74014459146092,1.017252787213957,1.0180912038930654,1.0182203586396044
19,37.06395495667749,17.9241735458374,54.09903151002592,1.0187643992968345,1.0196130219719335,1.0197416653001499
20,37.01040439216458,18.218313026428223,54.412767698813255,1.018918288916945,1.0197624804836705,1.0199277436864387
21,37.0599666517608,18.161743927001954,54.808348110762516,1.0180891118292563,1.0189338066568643,1.0190781367677981
22,37.06786486567283,18.34962739944458,53.921702359841774,1.0192325346356959,1.0201100561837266,1.02029026014273
23,37.04755557313257,18.07358045578003,55.053880780248264,1.0191925306695406,1.0200706313385801,1.020248202698695
24,37.020932956617706,18.057832622528075,54.74014459146092,1.0218015895896204,1.0226947351474254,1.0228800994848033
25,37.00770919176997,18.063682270050048,54.890192333924425,1.021718252266862,1.0226220458541841,1.0227934423034468
26,37.0207292984943,18.149095630645753,54.45368981039421,1.021812038298676,1.0227232636697687,1.0229254511410089
27,36.9107100817622,18.037023067474365,54.84927022234347,1.0239480175488669,1.0248638965839114,1.0250542036599288
28,37.02186662323621,18.081914329528807,54.7947074069022,1.0223279493035644,1.0232270555544258,1.0234269820054418
29,36.96315710885184,18.294864845275878,54.49461192197518,1.0232551698327055,1.0241829276013428,1.0243849936411533
30,36.88550536486567,18.268921661376954,54.0853908061656,1.0230335043539782,1.023945749033156,1.0241501767979824
31,36.87485940115793,18.094325256347656,55.16300641113081,1.0248139339734084,1.0257653401365254,1.0259538906278538
32,36.86788924859495,18.056257438659667,54.90383303778476,1.025309801116438,1.0262576410109703,1.0264714531190657
33,36.904894225451415,18.395789337158202,54.67194107215933,1.0240502528737054,1.0250028690368684,1.0252154675858898
34,36.927055825992504,18.136776828765868,54.808348110762516,1.0253262655187423,1.0262822318906513,1.0264888466754287
35,36.872912504235096,18.063834381103515,54.39912699495294,1.0270229226858072,1.0279556342791887,1.028170626084996
36,36.87624491477499,18.27713279724121,54.33092347565134,1.0275985383961181,1.0285436177760212,1.0287626637006004
37,36.84820587781011,18.08976516723633,54.521893329695814,1.0281322901129326,1.0291031457037718,1.0293235200842323
38,36.8547904345454,18.31796054840088,54.344564179511664,1.0272944146249763,1.0282932220372472,1.02851417925028
39,36.858304237832826,18.25090265274048,53.758013913517935,1.0291247316961627,1.030099691163706,1.0303283772624325
40,36.78616122810208,18.04347972869873,54.83562951848315,1.0302863056265756,1.0312680698291583,1.0314903985941402
41,36.79743918594049,18.233594036102296,54.221797844768794,1.0308516571701487,1.031833708506851,1.0320421692600998
42,36.842902981505105,18.0888108253479,54.45368981039421,1.0298276810100349,1.0308412668996219,1.0310555142857127
43,36.79288264683315,18.112064838409424,54.24907925248943,1.0297594164158432,1.0307472325498281,1.0309672777993943
44,36.81997229128468,18.217234134674072,54.49461192197518,1.030590342554337,1.0316133827407798,1.0318311084721004
45,36.85413376165896,18.104904556274413,54.699222479879964,1.0304764676691545,1.0314892101770385,1.0317075130425728
46,36.83569180235571,18.11026077270508,54.71286318374028,1.029322656483955,1.0303035985433149,1.0305376219140148
47,36.817059497444,18.15284118652344,54.699222479879964,1.0313725646764087,1.0323789072633531,1.0326073474889177
48,36.82306943620954,18.166676235198974,54.344564179511664,1.0302918161219683,1.0312956915284468,1.0315271406473663
