epoch,train_loss,val_loss,val_acc,avg_k_cnn,avg_k_lstm,avg_k_tr
1,39.13183230136303,27.123085956573487,51.642872139407935,1.0006699552465117,1.00096441565744,1.0010011626340012
2,39.03927948322702,27.076414642333983,52.39869829939114,1.004047223686647,1.004591524477054,1.0046735968148894
3,38.97840689801155,27.074994163513182,52.703128280495484,1.0065333280808346,1.0071274029560264,1.0072503859478514
4,38.959471097905585,27.088996543884278,52.91307999160193,1.0067154986937283,1.0073670391823477,1.0075465302770195
5,38.954611611873545,27.095803298950194,52.78710896493807,1.0072395487522727,1.0079234881440808,1.0081567891686267
6,38.94731619002971,27.122488861083983,52.76086500104976,1.0076047725710673,1.0083187166265466,1.0086163685357816
7,38.93218778244992,27.08785171508789,52.9183287843796,1.0078828571698326,1.0086440110589738,1.0089883428706274
8,38.93727227068962,27.118585376739503,52.83434809993701,1.008162461463419,1.0089769437610407,1.0093628645008828
9,38.92782583033785,27.116585350036623,52.902582406046605,1.008601138258463,1.0094699342094826,1.0099067279933638
10,38.93646420417948,27.142249813079832,52.93932395549024,1.0086995851278817,1.0095766107208777,1.0100595170965931
11,38.902441162758684,27.156094989776612,52.808104136048705,1.008951987969709,1.009861200138319,1.0103822163846032
12,38.90954333366232,27.143034172058105,53.02855343271048,1.0091419206480874,1.0100787123354378,1.0106528603196392
13,38.90593101014482,27.146816310882567,53.06529498215411,1.0092262862600418,1.0102006147030393,1.0108026673169954
14,38.86529146559695,27.172114868164062,53.002309468822176,1.0098591101900138,1.0108144758072266,1.011464616292178
15,38.88155783795296,27.206636753082275,52.907831198824276,1.0101410326766722,1.0111570740785376,1.011804253239222
16,38.86425803975856,27.34240577697754,53.04429981104346,1.0100698677238809,1.01108447638962,1.0117992902814508
17,38.86169448203229,27.137631359100343,52.79235775771573,1.0108183122793364,1.0118300693176663,1.0125836489794156
18,38.86398174204725,27.312689895629884,52.960319126600886,1.0107276957289333,1.0117646504155005,1.012543823541984
19,38.83354656138319,27.297058238983155,52.960319126600886,1.0114857505739108,1.012560741843611,1.0133651050435788
20,38.85508877368684,27.385240097045898,53.070543774931764,1.0109716857860216,1.012049650716698,1.0128684641389059
21,38.82867983554272,27.241784801483153,52.92357757715725,1.0121262444557122,1.0132038209988268,1.0140744731905433
22,38.82062973671771,27.25521602630615,53.002309468822176,1.0124981390444563,1.013604290432593,1.014481076742623
23,38.81952535751018,27.213137321472168,52.98656309048919,1.0126749458371134,1.0137793288906212,1.014690319591014
24,38.82674705018388,27.323414993286132,53.17551963048499,1.012230054155215,1.0133327355181976,1.0142567921691696
25,38.8144660625052,27.278961353302,52.84484568549234,1.0127984791900024,1.0139063333068563,1.01488215792884
26,38.81290404948783,27.45145217895508,53.070543774931764,1.0127777343070565,1.0138964006179294,1.0148906977380556
27,38.78654286810692,27.22780376434326,53.144026873819016,1.0137649035551137,1.0149031269719804,1.0159088490941872
28,38.79062887962828,27.280947132110597,52.976065504933864,1.0135749677433203,1.0146957827962217,1.0157187675721833
29,38.7775944648905,27.33652379989624,53.17551963048499,1.0142179576160668,1.0153380862503858,1.0164050112056369
30,38.78374026684051,27.567105350494383,53.144026873819016,1.0145427531162012,1.0157063852905466,1.0167568000751508
31,38.77348626319398,27.411929512023924,53.144026873819016,1.0150701576863164,1.0162476416657036,1.0173004299048716
32,38.77965948226604,27.436445960998537,53.0128070543775,1.0144067974799922,1.0155613890384834,1.016652412628544
33,38.74992875444128,27.33283670425415,53.144026873819016,1.0155215016040586,1.0167131995208323,1.017795137229837
34,38.74519445541057,27.400533599853517,53.23325635103926,1.0155219386664014,1.0166988096973157,1.0178036936032815
35,38.73096078101625,27.639125232696532,52.89208482049129,1.016219114287002,1.0174195160596586,1.0185261599978896
36,38.72084178518742,27.498669033050536,53.238505143816916,1.0162001829025888,1.0174172747156185,1.0185469733266423
37,38.74368282886262,27.907292709350585,53.17027083770732,1.0161290752523058,1.0173602442168446,1.0184959251334256
38,38.73372776761968,27.50342987060547,53.24900272937224,1.0164334618747501,1.0176443861005993,1.0187968101037186
39,38.72903619319835,27.285031642913818,53.1335292882637,1.016652257866047,1.01788508000339,1.0190384622029474
40,38.71754182856134,27.361780910491944,53.02855343271048,1.0173908537657566,1.018615784163845,1.0197834377879662
41,38.72609303251226,27.75637134552002,53.290993071593526,1.0170447033302443,1.0182631149110195,1.0194324761036886
42,38.72785803612242,27.607394943237306,53.301490657148854,1.0163551848364212,1.0175709480349475,1.0187679627366037
43,38.69804982936129,27.718537349700927,53.12303170270838,1.0174228710188151,1.0187163446595082,1.0198962282395405
44,38.7089115223986,27.59999900817871,53.18601721604031,1.017118202727639,1.0183617667117466,1.019552369575612
45,38.697126705088515,27.95369426727295,53.12303170270838,1.017662946193916,1.018890577969018,1.0200878957072288
46,38.71027038249564,27.64497188568115,53.28574427881587,1.0174055347165043,1.0186280527806255,1.0198506276205996
47,38.685454786584735,27.614943351745605,52.797606550493384,1.0181522433492727,1.0194230114445189,1.0206356009444344
48,38.687060368314704,27.64166166305542,53.19126600881797,1.0185334757493287,1.019789008453951,1.02102577767554
49,38.69463460394677,27.440086402893066,53.207012387150954,1.0178871300011285,1.0191171880292704,1.0203525875066375
50,38.689135206506606,27.761119556427,52.82385051438169,1.0180843692142103,1.019354754462185,1.0205984212371624
